y(px)	x(px)	width(px)	intensity(arb.unit)
547.5	91.5	5.656854	0.37859404
561.913	91.78261	4.7958317	0.34620798
1184.4117	92.32353	5.8309517	0.32509425
1199.0	92.206894	5.3851647	0.3241833
1213.1818	92.030304	5.7445626	0.32151046
1227.625	92.15625	5.656854	0.32674038
1241.697	91.90909	5.7445626	0.32685518
576.5	91.5	4.0	0.33420512
591.0	91.5	4.0	0.33502734
634.6	91.6	3.8729835	0.32626277
648.95	91.9	4.472136	0.32712105
664.0	92.0	4.582576	0.33272976
678.5	92.22222	4.2426405	0.3302397
692.7	92.1	4.472136	0.3352005
707.41174	92.117645	4.1231055	0.33478984
721.9091	92.09091	4.690416	0.3373478
736.41174	92.117645	4.1231055	0.32949293
751.0909	91.90909	4.690416	0.32883728
765.3333	92.14286	4.582576	0.3271374
780.1	92.05	4.472136	0.3266933
795.0	92.0	4.582576	0.3324897
809.41174	92.117645	4.1231055	0.3291363
838.5	92.22222	4.2426405	0.32878453
852.96	92.6	5.0	0.3331793
882.0455	92.27273	4.690416	0.33731595
983.9259	92.59259	5.196152	0.3016118
998.129	92.90323	5.5677643	0.3117081
1012.4194	92.548386	5.5677643	0.31136656
1026.5454	92.757576	5.7445626	0.31038702
1041.0	92.67857	5.2915025	0.309469
1055.5	92.5	5.656854	0.31483927
1069.5758	92.57576	5.7445626	0.317865
1083.9032	92.67742	5.5677643	0.32211396
1098.4193	92.548386	5.5677643	0.31888506
1112.5	92.5	5.656854	0.31773221
1127.258	92.41936	5.5677643	0.3193391
1141.5	92.5	5.656854	0.32729027
1155.5807	92.451614	5.5677643	0.31766802
1170.2	92.333336	5.477226	0.32014844
1256.2727	91.954544	4.690416	0.33600006
823.64703	92.47059	4.1231055	0.3295761
867.5	92.77778	4.2426405	0.32426968
896.5	92.5	4.0	0.33428454
910.7143	92.5	3.7416575	0.3300792
925.7143	92.5	3.7416575	0.33220196
940.2857	92.5	3.7416575	0.33115754
954.5	92.77778	4.2426405	0.33336693
969.0909	92.90909	4.690416	0.32668805
1.4166666	106.0	3.4641016	0.33169833
73.588234	106.32353	5.8309517	0.37781647
118.28125	106.1875	5.656854	0.38536075
132.90625	106.21875	5.656854	0.38517004
147.71875	106.1875	5.656854	0.38724855
162.73529	106.0	5.8309517	0.39409155
177.57576	106.06061	5.7445626	0.39478037
192.42857	105.77143	5.91608	0.3910328
207.30302	105.90909	5.7445626	0.38726
222.30302	105.90909	5.7445626	0.38954374
236.91176	105.79412	5.8309517	0.39333746
251.71875	105.8125	5.656854	0.39676738
266.71875	105.8125	5.656854	0.39259043
281.5	105.70588	5.8309517	0.3981519
296.41177	105.67647	5.8309517	0.39865443
311.28125	105.8125	5.656854	0.40109226
326.08823	105.79412	5.8309517	0.40533745
340.69696	105.90909	5.7445626	0.40069538
355.69696	105.90909	5.7445626	0.40217504
370.30304	105.90909	5.7445626	0.39364147
385.18182	105.818184	5.7445626	0.40337646
399.71875	105.8125	5.656854	0.39947844
414.69696	105.90909	5.7445626	0.4048531
429.30304	105.90909	5.7445626	0.40680757
444.0	106.0	6.0827627	0.40789288
458.69696	105.90909	5.7445626	0.39451814
473.69696	105.90909	5.7445626	0.39376658
488.5	106.0	5.8309517	0.3903528
503.30304	106.09091	5.7445626	0.390479
518.2647	106.0	5.8309517	0.40436354
532.7941	105.911766	5.8309517	0.40257475
547.59375	106.15625	5.656854	0.3833937
14.5	106.5	5.656854	0.3791671
29.5	106.5	5.656854	0.3719074
44.0	106.5	5.8309517	0.37407485
58.741936	106.41936	5.5677643	0.36882436
88.5	106.5	5.656854	0.37314206
103.5	106.5	5.656854	0.37344342
562.0	106.17391	4.7958317	0.3430485
780.5294	106.35294	4.1231055	0.3263424
1041.2812	107.1875	5.656854	0.3102305
1055.697	107.09091	5.7445626	0.31558314
1070.0	107.19355	5.5677643	0.3160675
1084.2812	107.1875	5.656854	0.3189234
1098.625	107.15625	5.656854	0.31866074
1113.0	107.0	5.7445626	0.3211353
1127.375	106.84375	5.656854	0.32097194
1141.6471	106.82353	5.8309517	0.3301044
1156.1	106.8	5.477226	0.32148066
1170.5	106.70588	5.8309517	0.3253885
1184.5	106.5	5.656854	0.3274707
1199.4193	106.548386	5.5677643	0.32808894
1213.5	106.5	5.656854	0.32643053
1227.742	106.58064	5.5677643	0.3353247
1242.258	106.41936	5.5677643	0.3352101
1256.6364	106.5	4.690416	0.35322192
576.6	106.4	3.8729835	0.33117098
591.4	106.4	3.8729835	0.33136904
605.8	106.5	3.1622777	0.32354283
620.2	106.5	3.1622777	0.3187532
634.7143	106.5	3.7416575	0.32368225
649.2857	106.5	3.7416575	0.32356262
664.2857	106.5	3.7416575	0.327117
